* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:07:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Aug 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
288.208008 94.676 -159.9116
288.574219 95.416 -163.4692
288.940430 96.163 -168.6118
289.306641 96.748 -174.8423
289.672852 97.094 178.7583
290.039062 97.218 173.1069
290.405273 97.214 168.8281
290.771484 97.218 165.9756
291.137695 97.330 163.9385
291.503906 97.549 161.8516
291.870117 97.783 159.2544
292.236328 97.946 156.3120
292.602539 98.016 153.5132
292.968750 98.045 151.2051
293.334961 98.109 149.2847
293.701172 98.236 147.2803
294.067383 98.385 144.8145
294.433594 98.489 141.9761
294.799805 98.533 139.2451
295.166016 98.583 137.0552
295.532227 98.752 135.2930
295.898438 99.102 133.1919
296.264648 99.574 129.9131
296.630859 100.030 125.2246
296.997070 100.351 119.5908
297.363281 100.491 113.8394
297.729492 100.486 108.7969
298.095703 100.445 104.9580
298.461914 100.499 102.1909
298.828125 100.727 99.7363
299.194336 101.094 96.7163
299.560547 101.486 92.7148
299.926758 101.795 87.8853
300.292969 101.959 82.7021
300.659180 101.967 77.7007
301.025391 101.856 73.3159
301.391602 101.687 69.7656
301.757812 101.529 66.9873
302.124023 101.428 64.6719
302.490234 101.389 62.4482
302.856445 101.389 60.0913
303.222656 101.401 57.5850
303.588867 101.426 54.9907
303.955078 101.480 52.2583
304.321289 101.567 49.1616
304.687500 101.651 45.4487
305.053711 101.665 41.0952
305.419922 101.540 36.4438
305.786133 101.251 32.1504
306.152344 100.846 28.9590
306.518555 100.454 27.2949
306.884766 100.235 26.7847
307.250977 100.253 26.2852
307.617188 100.411 24.7607
307.983398 100.544 22.0498
308.349609 100.539 18.7417
308.715820 100.382 15.6294
309.082031 100.143 13.2314
309.448242 99.914 11.5259
309.814453 99.738 10.0449
310.180664 99.583 8.3506
310.546875 99.384 6.4263
310.913086 99.113 4.6182
311.279297 98.812 3.2324
311.645508 98.547 2.1514
312.011719 98.339 0.8364
312.377930 98.119 -1.1836
312.744141 97.772 -3.8071
313.110352 97.217 -6.2754
313.476562 96.479 -7.4375
313.842773 95.734 -6.3320
314.208984 95.275 -3.2036
314.575195 95.278 -0.0205
314.941406 95.597 1.1123
315.307617 95.934 -0.2715
315.673828 96.083 -3.3101
316.040039 95.978 -6.7837
316.406250 95.664 -9.6421
316.772461 95.261 -11.2837
317.138672 94.911 -11.8057
317.504883 94.690 -11.9580
317.871094 94.553 -12.5547
318.237305 94.376 -13.8022
318.603516 94.065 -15.1904
318.969727 93.623 -15.8770
319.335938 93.172 -15.3198
319.702148 92.876 -13.9468
320.068359 92.778 -13.1216
320.434570 92.715 -13.9658
320.800781 92.441 -16.3633
321.166992 91.780 -19.0312
321.533203 90.712 -19.9189
321.899414 89.501 -16.8584
322.265625 88.743 -9.8779
