* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:08:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bench Mic 4
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
206.909180 91.967 13.9856
207.275391 91.648 9.4927
207.641602 91.230 7.9124
208.007812 91.184 7.9778
208.374023 91.591 5.6885
208.740234 91.986 -1.5896
209.106445 91.869 -13.6143
209.472656 90.919 -29.1838
209.838867 88.872 -47.3176
210.205078 85.335 -67.4375
210.571289 79.398 -89.1880
210.937500 67.391 -109.3450
211.303711 62.348 11.2031
211.669922 67.241 -54.9207
212.036133 75.220 -127.8386
212.402344 81.615 -165.6682
212.768555 85.431 166.3616
213.134766 87.508 142.0710
213.500977 88.242 120.5020
213.867188 87.776 102.6799
214.233398 86.215 92.1699
214.599609 84.412 96.3674
214.965820 85.157 111.6235
215.332031 88.017 114.8804
215.698242 90.466 106.8652
216.064453 92.010 94.9006
216.430664 92.749 82.7158
216.796875 92.847 72.3484
217.163086 92.501 65.1633
217.529297 91.973 61.8953
217.895508 91.562 62.2195
218.261719 91.467 64.7180
218.627930 91.719 67.7275
218.994141 92.242 69.9639
219.360352 92.896 70.5156
219.726562 93.478 69.0862
220.092773 93.795 66.3088
220.458984 93.753 63.6523
220.825195 93.460 62.9556
221.191406 93.297 65.1541
221.557617 93.702 68.2087
221.923828 94.612 68.2085
222.290039 95.543 63.6443
222.656250 96.120 55.6731
223.022461 96.200 46.1538
223.388672 95.788 36.8486
223.754883 95.000 29.2998
224.121094 94.063 24.5381
224.487305 93.253 22.4141
224.853516 92.699 21.6279
225.219727 92.303 21.3887
225.585938 91.999 22.5171
225.952148 92.042 25.7588
226.318359 92.759 28.8711
226.684570 93.946 28.0557
227.050781 95.025 22.3506
227.416992 95.576 13.3047
227.783203 95.389 3.0479
228.149414 94.352 -6.0322
228.515625 92.458 -10.4463
228.881836 90.217 -4.7734
229.248047 89.410 10.9697
229.614258 90.522 21.4102
229.980469 91.639 21.8789
230.346680 91.897 18.3892
230.712891 91.287 16.3037
231.079102 90.245 19.9551
231.445312 89.770 30.3647
231.811523 90.536 40.8706
232.177734 91.857 45.8684
232.543945 93.039 46.7842
232.910156 93.986 46.2161
233.276367 94.847 45.1558
233.642578 95.717 43.2192
234.008789 96.539 39.8047
234.375000 97.181 34.9551
234.741211 97.541 29.3711
235.107422 97.596 24.0542
235.473633 97.411 19.9941
235.839844 97.144 17.8115
236.206055 96.997 17.2793
236.572266 97.096 17.1934
236.938477 97.381 16.2041
237.304688 97.686 13.8145
237.670898 97.871 10.4541
238.037109 97.901 6.9409
238.403320 97.837 3.9580
238.769531 97.795 1.6592
239.135742 97.866 -0.4399
239.501953 98.041 -3.0430
239.868164 98.235 -6.4258
240.234375 98.374 -10.2422
240.600586 98.467 -13.9062
240.966797 98.602 -17.1831
241.333008 98.860 -20.5786
241.699219 99.209 -25.0244
242.065430 99.491 -31.0532
242.431641 99.512 -38.3545
242.797852 99.125 -45.8828
243.164062 98.274 -52.0298
243.530273 97.065 -54.7373
243.896484 95.911 -52.4326
244.262695 95.427 -46.8896
244.628906 95.660 -43.2710
244.995117 95.988 -43.9268
245.361328 95.918 -47.2256
245.727539 95.324 -50.4619
246.093750 94.372 -51.2227
246.459961 93.495 -48.5532
246.826172 93.116 -44.5713
247.192383 93.152 -42.7881
247.558594 93.181 -44.2285
247.924805 92.940 -47.6411
248.291016 92.409 -51.5000
248.657227 91.699 -54.9736
249.023438 90.904 -57.9619
249.389648 90.023 -60.3193
249.755859 89.049 -60.8350
250.122070 88.260 -57.4619
250.488281 88.348 -50.8594
250.854492 89.548 -46.9897
251.220703 91.099 -49.5962
251.586914 92.298 -57.0957
251.953125 92.858 -66.6592
252.319336 92.699 -75.7412
252.685547 91.863 -81.7266
253.051758 90.649 -81.6523
253.417969 89.859 -74.4771
253.784180 90.183 -65.7627
254.150391 91.068 -61.6792
254.516602 91.714 -61.5078
254.882812 91.904 -62.0103
255.249023 91.841 -60.9150
255.615234 91.886 -58.2070
255.981445 92.194 -56.0308
256.347656 92.539 -56.1240
256.713867 92.609 -58.0625
257.080078 92.277 -60.0117
257.446289 91.682 -59.9229
257.812500 91.234 -57.0151
258.178711 91.335 -53.4688
258.544922 91.901 -52.7705
258.911133 92.519 -55.9902
259.277344 92.920 -61.9785
259.643555 93.065 -69.2168
260.009766 93.050 -76.6987
260.375977 93.004 -84.1777
260.742188 92.990 -92.0210
261.108398 92.953 -100.6387
261.474609 92.754 -109.9004
261.840820 92.250 -118.9238
262.207031 91.370 -126.0859
262.573242 90.228 -129.1260
262.939453 89.324 -126.4014
263.305664 89.367 -120.6904
263.671875 90.271 -118.3574
264.038086 91.258 -121.5156
264.404297 91.821 -128.2959
264.770508 91.795 -136.3477
265.136719 91.180 -143.5693
265.502930 90.111 -147.8076
265.869141 88.995 -147.1865
266.235352 88.540 -142.7407
266.601562 89.028 -140.0894
266.967773 89.868 -143.2295
267.333984 90.443 -151.4805
